productCategory,productDescription,productID,productName,productPrice,productSKU
\u0110i\u1ec7n Gia D\u1ee5ng\/\u0110\u1ed3 d\u00f9ng nh\u00e0 b\u1ebfp\/N\u1ed3i \u0111i\u1ec7n c\u00e1c lo\u1ea1i\/N\u1ed3i chi\u00ean,"\nThi\u1ebft k\u1ebf nh\u1ecf g\u1ecdn, hi\u1ec7n \u0111\u1ea1i\nN\u1ed3i Chi\u00ean Kh\u00f4ng D\u1ea7u Bluestone AFB-5870 s\u1edf h\u1eefu thi\u1ebft k\u1ebf \u0111\u1ed9c \u0111\u00e1o, nh\u1ecf g\u1ecdn, k\u1ebft h\u1ee3p t\u00f4ng \u0111en tuy\u1ec1n tinh t\u1ebf mang \u0111\u1ebfn s\u1ef1 sang tr\u1ecdng cho kh\u00f4ng gian s\u1eed d\u1ee5ng. V\u1edbi kh\u1ea3 n\u0103ng n\u1ea5u...",20024114,N\u1ed3i Chi\u00ean Kh\u00f4ng D\u1ea7u Bluestone AFB-5870 (5L) - H\u00e0ng Ch\u00ednh H\u00e3ng,1798900,3563619249354
"\u0110i\u1ec7n Gia D\u1ee5ng\/\u0110\u1ed3 d\u00f9ng nh\u00e0 b\u1ebfp\/M\u00e1y xay, m\u00e1y \u00e9p\/M\u00e1y xay th\u1ecbt","Ki\u1ec3u d\u00e1ng hi\u1ec7n \u0111\u1ea1i\nM\u00e1y Xay Th\u1ecbt 2 L\u01b0\u1ee1i K\u00e9p Bluestone CHB-5139 (2L) c\u00f3 ki\u1ec3u d\u00e1ng \u0111\u1eb9p, sang tr\u1ecdng, g\u1ecdn nh\u1eb9 d\u1ec5 d\u00e0ng c\u1ea5t gi\u1eef v\u00e0 b\u1ea3o qu\u1ea3n. M\u00e0u s\u1eafc thanh l\u1ecbch cho c\u0103n b\u1ebfp c\u1ee7a gia \u0111\u00ecnh th\u00eam ph\u1ea7n \u1ea5n t\u01b0\u1ee3ng...",860733, M\u00e1y Xay Th\u1ecbt 2 L\u01b0\u1ee1i K\u00e9p Bluestone CHB-5139 (2L) - H\u00e0ng ch\u00ednh h\u00e3ng,549000,3211425757562
"\u0110i\u1ec7n Gia D\u1ee5ng\/\u0110\u1ed3 d\u00f9ng nh\u00e0 b\u1ebfp\/M\u00e1y xay, m\u00e1y \u00e9p\/M\u00e1y v\u1eaft cam","M\u00e1y V\u1eaft Cam Philips HR-2738 \nM\u00e1y V\u1eaft Cam Philips HR-2738 c\u00f4ng su\u1ea5t 25W, dung t\u00edch 0.5\u00a0l\u00edt, mang \u0111\u1ebfn cho b\u1ea1n m\u1ed9t ly n\u01b0\u1edbc cam t\u00ednh ch\u1ea5t v\u00e0 s\u1ea1ch nh\u1ea5t.\u00a0V\u1edbi v\u1ecf b\u00ean ngo\u00e0i \u0111\u01b0\u1ee3c l\u00e0m t\u1eeb nh\u1ef1a cao c\u1ea5p n\u00ean r\u1ea5t...",3873843,M\u00e1y V\u1eaft Cam Philips HR-2738 - H\u00e0ng Nh\u1eadp Kh\u1ea9u,366000,1608940672609
\u0110i\u1ec7n Gia D\u1ee5ng\/\u0110\u1ed3 d\u00f9ng nh\u00e0 b\u1ebfp\/V\u1ec9 n\u01b0\u1edbng \u0111i\u1ec7n,"Thi\u1ebft k\u1ebf g\u1ecdn nh\u1eb9, ti\u1ec7n s\u1eed d\u1ee5ng\nB\u1ebfp N\u01b0\u1edbng \u0110i\u1ec7n Sunhouse SHD4607\u00a0c\u00f3 thi\u1ebft k\u1ebf g\u1ecdn g\u00e0ng, tr\u1ecdng l\u01b0\u1ee3ng c\u1ef1c nh\u1eb9 v\u1edbi khay n\u01b0\u1edbng ch\u1ec9 765g r\u1ea5t ti\u1ec7n cho vi\u1ec7c s\u1eed d\u1ee5ng t\u1ea1i nh\u00e0, di chuy\u1ec3n v\u00e0 b\u1ea3o qu\u1ea3n s\u1ea3n ph\u1ea9m. B\u1ebfp...",1460199,B\u1ebfp N\u01b0\u1edbng \u0110i\u1ec7n Sunhouse SHD4607 (1500W) - H\u00e0ng ch\u00ednh h\u00e3ng,310400,7029882633420
\u0110i\u1ec7n Gia D\u1ee5ng\/Thi\u1ebft b\u1ecb gia \u0111\u00ecnh\/M\u00e1y l\u1ecdc kh\u00f4ng kh\u00ed,"M\u00e1y l\u1ecdc kh\u00f4ng kh\u00ed Kachi MK-195\u00a0c\u00f3 thi\u1ebft k\u1ebf h\u00ecnh kh\u1ed1i ch\u1eafc ch\u1eafn, nh\u1ecf g\u1ecdn, v\u1edbi m\u00e0u \u0111en tr\u1eafng trang nh\u00e3, t\u0103ng t\u00ednh th\u1ea9m m\u1ef9 cho m\u1ecdi kh\u00f4ng gian s\u1eed d\u1ee5ng\n\n\u00a0\nC\u00f4ng su\u1ea5t 40W,\u00a0l\u1ecdc kh\u00f4ng kh\u00ed t\u1ed1i \u01b0u trong c\u00e1c...",47793269,M\u00e1y l\u1ecdc kh\u00f4ng kh\u00ed Kachi MK195 - H\u00e0ng ch\u00ednh h\u00e3ng,649000,9155726126273
\u0110i\u1ec7n Gia D\u1ee5ng\/Thi\u1ebft b\u1ecb gia \u0111\u00ecnh\/M\u00e1y h\u00fat b\u1ee5i\/H\u00fat b\u1ee5i c\u1ea7m tay,"M\u00e1y H\u00fat B\u1ee5i C\u1ea7m Tay Kh\u00f4ng D\u00e2y R6053 l\u00e0 s\u1ea3n ph\u1ea9m hi\u1ec7n \u0111\u1ea1i, kh\u00f4ng ch\u1ec9 h\u00fat b\u1ee5i cho xe h\u01a1i v\u00e0 gia \u0111\u00ecnh m\u00e0 c\u00f2n \u0111\u01b0\u1ee3c thi\u1ebft k\u1ebf sang tr\u1ecdng, tinh t\u1ebf k\u1ebft h\u1ee3p v\u1edbi s\u1ee9c h\u00fat m\u1ea1nh m\u1ebd, \u0111em l\u1ea1i s\u1ef1 tr\u1ea3i nghi\u1ec7m tuy\u1ec7t...",19577942,M\u00e1y h\u00fat b\u1ee5i s\u1ea1c pin kh\u00f4ng d\u00e2y R6053,265000,9876208607270
\u0110i\u1ec7n Gia D\u1ee5ng\/\u0110\u1ed3 d\u00f9ng nh\u00e0 b\u1ebfp\/M\u00e1y pha c\u00e0 ph\u00ea\/M\u00e1y pha c\u00e0 ph\u00ea gia \u0111\u00ecnh,"Pha ch\u1ebf th\u1ee9c u\u1ed1ng mang phong c\u00e1ch Italian Coffee\r\nB\u00ean c\u1ea1nh ch\u1ee9c n\u0103ng pha espresso, c\u00e0 ph\u00ea th\u01b0\u1eddng; m\u00e1y \u0111\u01b0\u1ee3c t\u00edch h\u1ee3p v\u00f2i phun \u0111\u1ec3 t\u1ea1o b\u1ecdt s\u1eefa cho cappuccino chu\u1ea9n. Ch\u1ebf \u0111\u1ed9 \u0111\u00e1nh b\u1ecdt gi\u00fap pha ch\u1ebf c\u00e0 ph\u00ea...",548599,M\u00e1y Pha C\u00e0 Ph\u00ea Espresso Tiross TS-621 - H\u00e0ng Ch\u00ednh H\u00e3ng,919000,1777835653808
\u0110i\u1ec7n Gia D\u1ee5ng\/\u0110\u1ed3 d\u00f9ng nh\u00e0 b\u1ebfp\/N\u1ed3i \u0111i\u1ec7n c\u00e1c lo\u1ea1i\/N\u1ed3i chi\u00ean,"\nThi\u1ebft k\u1ebf \u0111\u1ed9c \u0111\u00e1o\nN\u1ed3i Chi\u00ean Kh\u00f4ng Kh\u00ed \u0110i\u1ec7n T\u1eed Philips HD9650\/91 XXL s\u1edf h\u1eefu thi\u1ebft k\u1ebf \u0111\u1ed9c \u0111\u00e1o v\u1edbi lu\u1ed3ng kh\u00ed \u0111\u01b0\u1ee3c l\u00e0m n\u00f3ng r\u1ea5t cao l\u01b0u th\u00f4ng nhanh, thi\u1ebft k\u1ebf h\u00ecnh sao v\u00e0 c\u1ea5u h\u00ecnh l\u00e0m n\u00f3ng t\u1ed1i \u01b0u cho ph\u00e9p...",13516156,N\u1ed3i Chi\u00ean Kh\u00f4ng D\u1ea7u \u0110i\u1ec7n T\u1eed Philips HD9650\/91 XXL (1.4kg) - H\u00e0ng Ch\u00ednh H\u00e3ng,5999000,1705110151176
\u0110i\u1ec7n Gia D\u1ee5ng\/\u0110\u1ed3 d\u00f9ng nh\u00e0 b\u1ebfp\/M\u00e1y s\u1ea5y th\u1ef1c ph\u1ea9m,"\n\n\n\n\n\n\n\n\n\n\n\nThi\u1ebft k\u1ebf hi\u1ec7n \u0111\u1ea1i, g\u1ecdn nh\u1eb9\nM\u00e1y S\u1ea5y Th\u1ef1c Ph\u1ea9m Magic Korea A-73 \u0111\u01b0\u1ee3c thi\u1ebft k\u1ebf nh\u1ecf g\u1ecdn, kh\u00f4ng chi\u1ebfm nhi\u1ec1u di\u1ec7n t\u00edch khi s\u1eed d\u1ee5ng. Chi\u1ebfc m\u00e1y n\u00e0y x\u1ee9ng \u0111\u00e1ng l\u00e0 s\u1ea3n ph\u1ea9m h\u1eefu \u00edch c\u00f3 m\u1eb7t trong m\u1ed7i...",31502009,M\u00e1y S\u1ea5y Th\u1ef1c Ph\u1ea9m Magic A-73 - H\u00e0ng Ch\u00ednh H\u00e3ng,449000,4688629878772
\u0110i\u1ec7n Gia D\u1ee5ng\/Thi\u1ebft b\u1ecb gia \u0111\u00ecnh\/M\u00e1y h\u00fat b\u1ee5i\/H\u00fat b\u1ee5i c\u1ea7m tay,"Thi\u1ebft k\u1ebf ki\u1ec3u d\u00e1ng c\u1ea7m tay ti\u1ec7n d\u1ee5ng\nM\u00e1y H\u00fat B\u1ee5i C\u1ea7m Tay MIDEA MVC SC861B - Tr\u1eafng Xanh \u0111\u01b0\u1ee3c thi\u1ebft k\u1ebf v\u1edbi ki\u1ec3u d\u00e1ng c\u1ea7m tay nh\u1ecf g\u1ecdn, ph\u00f9 h\u1ee3p v\u1edbi nhi\u1ec1u \u0111\u1ed1i t\u01b0\u1ee3ng s\u1eed d\u1ee5ng nh\u1eb1m t\u1ea1o c\u1ea3m gi\u00e1c tho\u1ea3i m\u00e1i cho...",505634,M\u00e1y H\u00fat B\u1ee5i C\u1ea7m Tay MIDEA MVC SC861B - Tr\u1eafng Xanh - H\u00e0ng ch\u00ednh h\u00e3ng,629000,1680564579410
